epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.476666659116745,0.8236865401268005,0.0005000000237487257,1.0867695808410645,0.6841400265693665,0.24642543494701385,0.6835087537765503,0.9385564923286438,0.6974637508392334,0.8989742398262024,0.4074561297893524
1,0.6028289198875427,0.9021716117858887,0.0010000000474974513,0.8074930906295776,0.8456593751907349,0.2913815677165985,0.6877192854881287,0.943267822265625,0.673507571220398,0.905504047870636,0.40263158082962036
2,0.6370614171028137,0.9179644584655762,0.0009854709496721625,0.7519922852516174,0.8682532906532288,0.3256140351295471,0.7309648990631104,0.9586514234542847,0.6056814789772034,0.9208080172538757,0.4518420994281769
3,0.6687938570976257,0.9310547113418579,0.0009427280747331679,0.7036212682723999,0.880203127861023,0.3649561405181885,0.7590351104736328,0.9656826853752136,0.5741574764251709,0.9306532740592957,0.4873684346675873
4,0.6985526084899902,0.9406569004058838,0.0008742554346099496,0.6666873693466187,0.8905577063560486,0.3991886079311371,0.7872806787490845,0.9719510674476624,0.5404679179191589,0.9391592741012573,0.5213158130645752
5,0.718684196472168,0.9487234354019165,0.0007840323960408568,0.6326767802238464,0.896709144115448,0.4308333396911621,0.8116666674613953,0.9771696329116821,0.509726881980896,0.9467446804046631,0.5535964965820312
6,0.7400877475738525,0.9553260803222656,0.0006773024797439575,0.6038694381713867,0.9059049487113953,0.4659649133682251,0.8297368288040161,0.9807671308517456,0.49027758836746216,0.9475119113922119,0.609649121761322
7,0.7569736838340759,0.9605783820152283,0.0005602683522738516,0.5802846550941467,0.9110408425331116,0.4927412271499634,0.8432456254959106,0.9837496280670166,0.4725964069366455,0.9524123668670654,0.6337719559669495
8,0.7740570306777954,0.965376615524292,0.0004397316661197692,0.5572741627693176,0.918380856513977,0.5179386138916016,0.854912281036377,0.9863981604576111,0.45346933603286743,0.9564886689186096,0.6614035367965698
9,0.7896052598953247,0.9693641662597656,0.00032269759685732424,0.5380979776382446,0.9240610003471375,0.5433114171028137,0.8642982244491577,0.9879012107849121,0.44372978806495667,0.9587088823318481,0.6904385685920715
10,0.8041666746139526,0.9731560349464417,0.0002159676660085097,0.5191428661346436,0.9312078356742859,0.5687719583511353,0.8760526180267334,0.9899675250053406,0.4286058247089386,0.9622819423675537,0.7161403298377991
11,0.8137061595916748,0.9757742881774902,0.00012574461288750172,0.5056985020637512,0.9342119097709656,0.5860745906829834,0.8842105269432068,0.9909003973007202,0.42082634568214417,0.9626232385635376,0.7364912033081055
12,0.8267982602119446,0.9779007434844971,5.727202005800791e-05,0.4943898320198059,0.9392955899238586,0.6029824614524841,0.8877192735671997,0.991519570350647,0.4172484576702118,0.9658703207969666,0.7447368502616882
13,0.8262719511985779,0.9782633781433105,1.4529079635394737e-05,0.4923592209815979,0.938521683216095,0.6056140065193176,0.8918421268463135,0.9920505285263062,0.41312363743782043,0.9671760201454163,0.7495614290237427
14,0.8311403393745422,0.9792386293411255,0.0,0.48654404282569885,0.9397789239883423,0.6115570068359375,0.8942105174064636,0.992206871509552,0.41176149249076843,0.9679900407791138,0.7507017254829407
